PIC ID,Reference Name,Reference Link,Year,Conference (VENUE),Website,AUTHORS
D842715,Wearable Thermometer (USD842715S1),https://patents.google.com/patent/USD842715S1/en?oq=USD842715,2019,PATENT,,Thomas Fleet
D842714,Wearable Thermometer (USD842714S1),https://patents.google.com/patent/USD842714S1/en?oq=USD842714,2019,PATENT,,Thomas Fleet
D842855,Wearable Device (USD842855S1),https://patents.google.com/patent/USD842855S1/en?oq=USD842855,2019,PATENT,,"Jody Akana, Bartley K. Andre, Shota Aoyagi, Anthony Michael Ashcroft, Jeremy Bataillou, Daniel J. Coster, Daniele De Iuliis, M. Evans Hankey, Julian Hoenig, Richard P. Howarth, Jonathan P. Ive, Duncan Robert Kerr, Marc A. Newson, Matthew Dean Rohrbach, Peter Russell-Clarke, Benjamin Andrew Shaffer, Mikael Silvanto, Christopher J. Stringer, Eugene Antony Whang, Rico Zörkendörfer"
D842720,Wearable Device (USD842720S1),https://patents.google.com/patent/USD842720S1/en?oq=USD842720,2019,PATENT,,"Brian Doan, Jeffrey Brunner, Alexander James Peacop, Martin Crofton"
D842719,Wearable Device (USD842719S1),https://patents.google.com/patent/USD842719S1/en?oq=USD842719,2019,PATENT,,"Brian Doan, Jeffrey Brunner, Alexander James Peacop, Martin Crofton"
D1627757,Wearable Device (D1627757),https://www.wipo.int/designdb/en/index.jsp,2019,PATENT,,WIPO
D841495,Flexible wristband accessory for a wearable fitness monitor (USD841495S1),https://patents.google.com/patent/USD841495S1/en?oq=USD841495,2019,PATENT,,"Kevin David Page, II Alfred Charles Jones, Timothy Michael Vanderet, Irina Igorevna Kozlovskaya, Jonah Avram Becker, Bernhard Wildne, rMarc Angelp Capul, Erik Keith Askin, Gad Amit, Daniel Joseph Clifton"
D841316,Clip Acessory for a Wearable Fitness Monitor (USD841316S1),https://patents.google.com/patent/USD841316S1/en?oq=USD841316,2019,PATENT,,"Brian Dennis Paschke, Jonah Avram Becker, Susan Elizabeth McKinney, Ellise Noel Smolenyak, Byron Ben-Ming Hsieh, Anthony Joseph Smith, Gad Amit"
EU006262663_0001,Wearable Device (EU006262663-0001),https://www.wipo.int/designdb/en/index.jsp#,2019,PATENT,,WIPO
EU006262663_0002,Wearable Device (EU006262663-0002),https://www.wipo.int/designdb/en/index.jsp#,2019,PATENT,,WIPO
EU006262663_0003,Wearable Device (EU006262663-0003),https://www.wipo.int/designdb/en/index.jsp#,2019,PATENT,,WIPO
EU006262663_0004,Wearable Device (EU006262663-0004),https://www.wipo.int/designdb/en/index.jsp#,2019,PATENT,,WIPO
D841005,Wearable Electronic Device (USD841005S1),https://patents.google.com/patent/USD841005S1/en?oq=USD841005,2019,PATENT,,Cheuk Shing Lin
D840531,Wearable Autoinjector (USD840531S1),https://patents.google.com/patent/USD840531S1/en?oq=USD840531,2019,PATENT,,"Carlos Guillermo, David DeSalvo"
D840254,Wearable Apparatus for Personal Intuitive Cognitive Assistant (USD840254S1),https://patents.google.com/patent/USD840254S1/en?oq=USD840254,2019,PATENT,,Phu-Vinh Nguyen
D840396,Wearable augmented reality (AR) and virtual reality (VR) eyeglass communication device with an artificial intelligence (AI) data processing apparatus (USD840396S1),https://patents.google.com/patent/USD840396S1/en?oq=USD840396,2019,PATENT,,Dylan T X Zhou
CA179264,Wearable Physiotherapeutic Device (CA179264),https://www.wipo.int/designdb/en/index.jsp#,2019,PATENT,,WIPO
D839546,Wearable Blanket (USD839546S1),https://patents.google.com/patent/USD839546S1/en?oq=USD839546,2019,PATENT,,Idan Noiberg
D839269,Wearable Device (USD839269S1),https://patents.google.com/patent/USD839269S1/en?oq=USD839269,2019,PATENT,,Po-Wen Wang
D838372,Wearable Biometric Sensor (USD838372S1),https://patents.google.com/patent/USD838372S1/en?oq=USD838372,2019,PATENT,,"Jared Goering, Spencer Steinert"
D837783,Wearable Mobile Computing Device (USD837783S1),https://patents.google.com/patent/USD837783S1/en?oq=USD837783,2019,PATENT,,"Jui-Lung Wang, Chu-Fu Wang, Chang-Ta Miao, Gwo-Chyuan Chen"
pocketthumb,PocketThumb: a Wearable Dual-Sided Touch Interface for Cursor-based Control of Smart-Eyewear,https://dl.acm.org/citation.cfm?id=3090055,2017,IMWUT,,
imgphone,Imaginary Phone: Learning Imaginary Interfaces by Transferring Spatial Memory from a Familiar Device,https://dl.acm.org/citation.cfm?id=2047233,2011,UIST,,"David Dobbelstein, Christian Winkler, Gabriel Haas, Enrico Rukzio"
tinylily,Wearable Tech with TinyLily: Arduino Basics,https://www.hackster.io/glowascii/wearable-tech-with-tinylily-arduino-basics-bce892#schematics,2016,hackster.io,hackster.io,Alex Glow
wearablewrist,Wearable Wristband for Biomedical Variables Monitoring,https://www.hackster.io/RubenPadial/wearable-wristband-for-biomedical-variables-monitoring-fd7ee2,2017,hackster.io,hackster.io,Ruben Padial
transit,Wearable Transit Card Patch,https://www.hackster.io/glowascii/breadboard-dreams-wearable-transit-card-2b6e0c,2016,hackster.io,hackster.io,Alex Glow
neopixelsparkle,Wearable Neopixel Sparkle,https://www.hackster.io/mollycule/wearable-neopixel-sparkle-59ac5d,2015,hackster.io,hackster.io,Molly Nicholas
wearableassistant,Wearable Assistant,https://www.hackster.io/md-ashiqur-rahman/wearable-assistant-469cb5,2016,hackster.io,hackster.io,Md.Ashiqur Rahman
falldetect,Wearable Fall Detector,https://www.hackster.io/tasos2/wearable-fall-detector-a66118,2018,hackster.io,hackster.io,Tasos
teleop,Wearable Interface for Teleoperation of Robot Arms - WITRA,https://www.hackster.io/vbazan/wearable-interface-for-teleoperation-of-robot-arms-witra-1405ab,2016,hackster.io,hackster.io,Vinicius Bazan
inform,iNFormµ Wearable Stage One,https://www.hackster.io/inform/inform-wearable-stage-one-eea62d,2018,hackster.io,hackster.io,"Lang Mei, Rishabh Berlia"
pocketbeagle,PocketBeagle Wearable Tops off Your Holidays,https://www.hackster.io/pb/pocketbeagle-wearable-tops-off-your-holidays-fd7a55,2017,hackster.io,hackster.io,"Cathy Wicks, Eshtaartha Basu, Neeraj Dantu, Erik Welsh"
wearact,Wearect - Wearable Posture Correction Device,https://www.hackster.io/marsimon/wearect-wearable-posture-correction-device-456392,2018,hackster.io,hackster.io,Marsimon
blinkingwear,Blinking wearable,https://www.hackster.io/jeanmatthieud/blinking-wearable-f48830,2018,hackster.io,hackster.io,JEAN-MATTHIEU DECHRISTÉ
alma,Alma - Wearable Biosensor for Monitoring Vaginal Discharge,https://www.hackster.io/alma/alma-wearable-biosensor-for-monitoring-vaginal-discharge-b1022f,2018,hackster.io,hackster.io,"James Che, Giulia Tomasello, Tommaso Busolo, Michael Calabrese"
portableiot,Portable/Wearable Health Monitoring IoT System,https://www.hackster.io/salahuddin/portable-wearable-health-monitoring-iot-system-651720,2018,hackster.io,hackster.io,Salah Uddin
hexiwear,Programming Hexiwear (Wearables + IoT) in Python,https://www.hackster.io/luigifcerfeda/programming-hexiwear-wearables-iot-in-python-c2faa1,2017,hackster.io,hackster.io,Luigi Francesco Cerfeda
bling,"Bling Bra: Wearable, Sexy and Connected IoT Bra",https://www.hackster.io/charifmahmoudi/bling-bra-wearable-sexy-and-connected-iot-bra-fc8e6c,2016,hackster.io,hackster.io,Charif Mahmoudi
darth,Darth Vader Wearable Jedi Tracker,https://www.hackster.io/monkbroc/darth-vader-wearable-jedi-tracker-13e806,2016,hackster.io,hackster.io,Julien Vanier
watercool,Water Cooling Wearable,https://www.hackster.io/RealMitomon/water-cooling-wearable-555457,2018,hackster.io,hackster.io,Mitomon
pulsesensor,Using the MAX30100 wearable pulse sensor with Arduino,https://www.hackster.io/protocentral/using-the-max30100-wearable-pulse-sensor-with-arduino-9b6984,2016,hackster.io,hackster.io,"Archana Vijayan, Ashwin K Whitchurch, Venkatesh Bhat, Balasundari Vaidyanathan, Manikandan S"
lobot,Lobot 2.0: Wearable Headgear,https://www.hackster.io/gpvm/lobot-2-0-wearable-headgear-f9acac,2016,hackster.io,hackster.io,Glen Parsons
invyu,InVyu: The Maker's Wearable Heads-Up Display,https://www.hackster.io/microBob/invyu-the-maker-s-wearable-heads-up-display-5334ff,2018,hackster.io,hackster.io,MicroBob
Flora,Let's Make A Wearable: Part 1,https://www.hackster.io/pooja_baraskar/let-s-make-a-wearable-part-1-6e070b,2015,hackster.io,hackster.io,Pooja Baraskar
watchx,watchX-Arduino/Scratch Compatible Wearable Development Board,https://www.hackster.io/argex/watchx-arduino-scratch-compatible-wearable-development-board-f82fde,2017,hackster.io,hackster.io,palyancodr
bluewear,RYB080l Bluetooth Tutorial for Wearable Device,https://www.hackster.io/akarsh98/ryb080l-bluetooth-tutorial-for-wearable-device-10385f,2019,hackster.io,hackster.io,Akarsh Agarwal
understandingtouch,Understanding Palm-Based Imaginary Interfaces: The Role of Visual and Tactile Cues when Browsing,https://dl.acm.org/citation.cfm?id=2466114,2013,CHI,,"Sean Gustafson, Bernhard Rabe, Patrick M Baudisch"
omnitouch,OmniTouch: Wearable Multitouch Interaction Everywhere,http://www.chrisharrison.net/projects/omnitouch/omnitouch.pdf,2011,UIST,,"Andrew D. Wilson, Hrvoje Benko, Chris Harrison"
techtats,These tech tattoos will let you become a cyborg without the usual commitment,https://www.businessinsider.com/chaotic-moons-techtats-will-let-you-become-a-temporary-cyborg-2015-11,2015,Buisness Insider,,Ben Lamm
watchstretch,Stretchable and Washable Electronics for Embedding in Textiles,https://www.researchgate.net/publication/232024953_Stretchable_and_Washable_Electronics_for_Embedding_in_Textiles,2009,MRS,,"Thomas Vervust, Frederick Bossuyt, Frederick Bossuyt, Fabrice Axisa, Fabrice Axisa, Jan Vanfleteren, Jan Vanfleteren"
snapcomp,Modeling of snapping composite shells with magnetically aligned bio-inspired reinforcements,https://proceedings.asmedigitalcollection.asme.org/proceeding.aspx?articleid=2663102,2018,SMASIS,,"Katherine S. Riley, Hortense Le Ferrand, Andres F. Arrieta"
janknibbs,Jan Knibbs,http://janknibbs.com/,2019,Jan Knibbs,http://janknibbs.com/,Jan Knibbs
makeitblue,"MAKE IT BLUE: a controllable, color-changing dynamic costume",https://dl.acm.org/citation.cfm?id=3267304,2018,ISWC,,"Mary Ellen Berglund, Esther Foo, Md. Tahmidul Islam Molla, Smitha Muthya Sudheendra, Crystal Compton, Lucy E. Dunne"
possibletomorrows,Possible Tomorrows,http://yinggao.ca/possible-tomorrows/,2017,Yinggao,http://yinggao.ca/possible-tomorrows/,Ying Gao
neutralite,neutralité : can't and won't.,http://yinggao.ca/interactifs/neutralite--cant-and-wont/,2016,,http://yinggao.ca/fr/interactifs/neutralite--cant-and-wont/,Ying Gao
incertitudes,Incertitudes,http://yinggao.ca/interactifs/incertitudes/,2013,,http://yinggao.ca/fr/interactifs/incertitudes/,Ying Gao
nowherenowhere,no(where) now(here),http://yinggao.ca/interactifs/nowhere-nowhere/,2013,,http://yinggao.ca/interactifs/nowhere-nowhere/,Ying Gao
playtime,Playtime,http://yinggao.ca/interactifs/playtime/,2011,,http://yinggao.ca/interactifs/playtime/,Ying Gao
dearpaul,Dear Paul,http://yinggao.ca/interactifs/dear-paul/,,,http://yinggao.ca/interactifs/dear-paul/,Ying Gao
walkingcity,Walking City,http://yinggao.ca/interactifs/walking-city/,,,http://yinggao.ca/interactifs/walking-city/,Ying Gao
livingpod,Living pod,http://yinggao.ca/interactifs/living-pod/,2011,,http://yinggao.ca/interactifs/living-pod/,Ying Gao
theshow,The show still goes on,http://yinggao.ca/interactifs/the-show-still-goes-on/,,,http://yinggao.ca/interactifs/the-show-still-goes-on/,Ying Gao
iridescence,Iridescence,http://behnazfarahi.com/Iridescence/,2019,,http://behnazfarahi.com/Iridescence/,Behnaz Farahi
opale,Opale,http://behnazfarahi.com/opale/,2017,,http://behnazfarahi.com/opale/,Behnaz Farahi
bodyscape,Bodyscape,http://behnazfarahi.com/bodyscape/,2017,,http://behnazfarahi.com/bodyscape/,Behnaz Farahi
libertyleading,Liberty Leading the People,https://danitpeleg.com/liberty-leading-the-people-2/,2015,,https://danitpeleg.com/liberty-leading-the-people-2/,Danit Peleg
birthvenus,The Birth of Venus,https://danitpeleg.com/the-birth-of-venus/,2016,,https://danitpeleg.com/the-birth-of-venus/,Danit Peleg
caressgaze,Caress of the Gaze,http://papers.cumincad.org/data/works/att/acadia16_352.pdf,2015,,http://behnazfarahi.com/caress-of-the-gaze/,Behnaz Farahi
synapse,Synapse,http://behnazfarahi.com/synapse/,2015,,http://behnazfarahi.com/synapse/,Behnaz Farahi
ruff,Ruff,http://behnazfarahi.com/ruff/,2015,,http://behnazfarahi.com/ruff/,Behnaz Farahi
solardresspvd,Wearable Solar Dress,http://www.paulinevandongen.nl/projects/,2014,,http://www.paulinevandongen.nl/projects/,Pauline van Dongen
solarshirtpvd,Solar Shirt,https://www.ingentaconnect.com/content/intellect/infs/2016/00000003/00000002/art00007,2014,,http://www.paulinevandongen.nl/project/wearable-solar-shirt/,"ANNEKE SMELIK, LIANNE TOUSSAINT, PAULINE VAN DONGEN"
issho,Issho,http://www.paulinevandongen.nl/project/issho/,2017,,http://www.paulinevandongen.nl/project/issho/,Pauline van Dongen
vigour,Vigour,https://dl.acm.org/citation.cfm?doid=2667015.2641396,2016,,http://www.paulinevandongen.nl/project/vigour/,"Martijn Ten Bhömer, PAULINE VAN DONGEN
 
"
phototrope,Phototrope,http://www.paulinevandongen.nl/project/phototrope/,2015,,http://www.paulinevandongen.nl/project/phototrope/,Pauline van Dongen
between,Be-tween,https://dl.acm.org/citation.cfm?id=3174369,2015,,http://www.paulinevandongen.nl/project/be-tween/,"Troy Robert Nachtigall, Oscar Tomico, Ron Wakkary, Stephan Wensveen, Pauline van Dongen, Leonie Tenthof van Noorden"
fysiopal,Fysiopal,http://www.paulinevandongen.nl/project/fysiopal/,2016,,http://www.paulinevandongen.nl/project/fysiopal/,Pauline van Dongen
eskin,eskin,https://advances.sciencemag.org/content/4/2/eaaq0508,2018,,https://advances.sciencemag.org/content/4/2/eaaq0508,"Zhanan Zou, Chengpu Zhu, Yan Li, Xingfeng Lei, Wei Zhang, Jianliang Xiao"
vespers,Vespers,https://vimeo.com/266311689,2018,,https://mediatedmattergroup.com/vespers-iii,"Jeremy Flower, Kelly Egorova, Ahmed Hosny, Wendy Salmon, Tzu Chieh Tang, Noah Jakimo; Naomi Kaempfer, Boris Belocon, Gal Begun"
twitterdress,Twitter Dress,http://cutecircuit.com/media/media-twitter-dress/,2012,,http://cutecircuit.com/media/media-twitter-dress/,"FRANCESCA ROSELLA, RYAN GENZ"
graphenedress,Graphene Dress,http://cutecircuit.com/graphene-dress/,2017,,http://cutecircuit.com/graphene-dress/,"FRANCESCA ROSELLA, RYAN GENZ"
mfadress,MFA dress,http://cutecircuit.com/mfa-dress/,2016,,http://cutecircuit.com/mfa-dress/,"FRANCESCA ROSELLA, RYAN GENZ"
cognitivedress,Cognitive Dress,https://www.youtube.com/watch?v=3CCH22KRaYM,2016,,https://www.ibm.com/blogs/internet-of-things/cognitive-marchesa-dress/,IBM
eighthsense,Eighth Sense,http://seetheunseen.co.uk/project/innovate-uk,2016,,http://seetheunseen.co.uk/project/innovate-uk,Lauren Bowker
water,Water,http://seetheunseen.co.uk/project/the-lost-explorer,2017,,http://seetheunseen.co.uk/project/the-lost-explorer,Lauren Bowker
aurainside,Aura Inside,http://claradaguin.com/index.php?/aurainside/aura-inside-installation/,2018,,https://vimeo.com/259305769,Clara Daguin
wifidress,Wifi Dress,https://vimeo.com/326060766,2019,,http://claradaguin.com/index.php?/competition/etoiles-mercedes-benz-2017/,Clara Daguin
wimhaptic,WIM Haptic dress for dancers,http://www.junkamei.com/work#/wim-1/,2017,,http://www.junkamei.com/work#/wim-1/,Jun Kamei
amphibio,Amphibio,http://www.junkamei.com/work#/amphibio/,2018,,http://www.junkamei.com/work#/amphibio/,Jun Kamei
escent,eScent: A system and method for dispensing fluid in response to a sensed property,https://www.ipo.gov.uk/p-find-publication-getPDF.pdf?PatentNo=GB2423075&DocType=B&JournalNumber=6268,2009,,https://www.escent.ai/patents,"Jenny Tillotson, Gareth Jenkins"
embcomputer,The Embroidered Computer,https://dl.acm.org/citation.cfm?id=2891101,2017,,http://www.ireneposch.net/the-embroidered-computer/,"Irene Posch, Ebru Kurbak"
glovesmimu,The Gloves Project (mi.mu),https://www.plusea.at/?p=3841,2012,,https://www.plusea.at/?p=2388,"Adam Stark, Imogen Heap, Tom Mitchell, Rachel Freire, Seb Madgwick, Chagall van den Berg, Kelly Snook, Nigel Mphisa, Hannah Perner-Wilson, Kathy Geiger"
crochetres,Crochet Resistance,https://www.kobakant.at/KOBA/crochet-resistance/,2018,,https://www.kobakant.at/KOBA/crochet-resistance/,Kobakant
trombonevest,Trombone Breathing Vest,https://www.kobakant.at/KOBA/trombone-breathing/,2018,,https://www.kobakant.at/KOBA/trombone-breathing/,Kobakant
priscilla,Priscilla: The Burning Bolero,https://www.kobakant.at/KOBA/burning-bolero/,2018,,https://www.kobakant.at/KOBA/burning-bolero/,Kobakant
storytellvest,Storytelling Vest,https://www.kobakant.at/KOBA/storytelling-vest/,2018,,https://www.kobakant.at/KOBA/storytelling-vest/,Kobakant
emfhoodie,EMF Listener Hoodie,https://www.kobakant.at/KOBA/emf-listener-hoodie/,2018,,https://www.kobakant.at/KOBA/emf-listener-hoodie/,Kobakant
lazyprogrammer,A Lazy Programmers Datagloves,https://www.kobakant.at/KOBA/a-lazy-programmers-datagloves/,2018,,https://www.kobakant.at/KOBA/a-lazy-programmers-datagloves/,Kobakant
xavierdiscolele,Xavier's Discolele Costume,https://www.kobakant.at/KOBA/discolele/,2018,,https://www.kobakant.at/KOBA/discolele/,Kobakant
jumpnorth,Rachel's Jump North,https://www.kobakant.at/KOBA/jump-north-for-rachel/,2018,,https://www.kobakant.at/KOBA/jump-north-for-rachel/,Kobakant
sebgeojacket,Sebastian's Party Geometric Jacket,https://www.kobakant.at/KOBA/sebastians-party-geometric-jacket/,2018,,https://www.kobakant.at/KOBA/sebastians-party-geometric-jacket/,Kobakant
maurinmatrix,Maurin's Shepard Matrix,https://www.kobakant.at/KOBA/maurins-shepard-matrix/,2018,,https://www.kobakant.at/KOBA/maurins-shepard-matrix/,Kobakant
secondskin,Second Skin,http://www.rachelfreire.com/second-skin,2017,,https://dl.acm.org/citation.cfm?id=3025054,Rachel Freire
etextilecrystal,eTextile Crystallography,https://www.instructables.com/id/Growing-Crystals-on-LEDs-and-ETextiles/,2017,,http://www.rachelfreire.com/etextile-crystallography,Rachel Freire
memachine,"Me, The machine",http://www.rachelfreire.com/me-the-machine,2012,,http://www.rachelfreire.com/me-the-machine,Rachel Freire
tremor,Tremor,http://melissacoleman.nl/tremor,2017,,http://melissacoleman.nl/tremor,Melissa Coleman
ludinaturae,Ludi Naturae,https://www.youtube.com/watch?v=LOtV7pc4U1E,2018,,https://www.irisvanherpen.com/behind-the-scenes/ludi-naturae,Iris van Herpen
seijaku,SEIJAKU,https://www.youtube.com/watch?v=tNnUiEwfwXM,2016,,https://www.irisvanherpen.com/behind-the-scenes/seijaku,Iris van Herpen
shiftsouls,Shift Souls,https://www.youtube.com/watch?v=gKb0v5J_wTE,2019,,https://www.irisvanherpen.com/behind-the-scenes/shift-souls,Iris van Herpen
betweenlines,Between the Lines,https://www.youtube.com/watch?v=FiE3yVULRBY,2017,,https://www.irisvanherpen.com/behind-the-scenes/between-the-lines-1,Iris van Herpen
aurapt2,Aura Pt 1,https://www.arte.tv/fr/videos/071498-001-A/fashion-geek-1-10-broder-la-lumiere/,2017,,http://claradaguin.com/index.php?/collectionaura1/photoshoot/,Clara Daguin
cocktaildress,Robotic cocktail dress,https://www.instructables.com/id/HOW-TO-MAKE-YOUR-OWN-ROBOTIC-COCKTAIL-DRESS/,2016,,https://www.instructables.com/id/HOW-TO-MAKE-YOUR-OWN-ROBOTIC-COCKTAIL-DRESS/,ANOUK WIPPRECHT
monitordress,Monitor Dress,https://www.instructables.com/id/Monitor-Dress-Connect-Heart-Signals-to-the-IoT/,2016,,https://www.instructables.com/id/Monitor-Dress-Connect-Heart-Signals-to-the-IoT/,Lina Wassong
symbiosis,Symbiosis Dress,https://www.instructables.com/id/How-to-3D-Model-for-Fashion-Design/,2017,,https://www.instructables.com/id/How-to-3D-Model-for-Fashion-Design/,Lina Wassong
phem,Phem,https://phem.design/,2019,,https://phem.design/,Phem
apparel,APPAREL,http://normalfutu.re/apparel/,2016,,http://normalfutu.re/apparel/a-p-p-a-r-e-l-v-1-0-project-page/,-
mirrormirror,Mirror Mirror: An On-body T-Shirt Design System,http://delivery.acm.org/10.1145/2860000/2858282/p6058-saakes.pdf?ip=128.210.107.81&id=2858282&acc=ACTIVE%20SERVICE&key=A79D83B43E50B5B8%2E2BA8E8EA4DBC4DB7%2E4D4702B0C3E38B35%2E4D4702B0C3E38B35&__acm__=1562016001_f9a79f2434daec6b54d0dda43899f71a,2016,,https://www.youtube.com/watch?v=CGXg5ZBJU78,"Daniel Saakes, Hui-Shyong Yeo, Seung-Tak Noh, Gyeol Han, Woontack Woo"
readings,Readings,https://www.waldemeyer.com/hussein-chalayan-readings-laser-dresses,2008,,https://www.waldemeyer.com/hussein-chalayan-readings-laser-dresses,-
wayuco,wayuco,https://wayuco.ch/?v=3a52f3c22ed6,2016,,https://wayuco.ch/?v=3a52f3c22ed6,wayuco
reshow,re.show,http://anjadragan.com/re-show/,2018,,http://anjadragan.com/re-show/,Anja Dragan
hyperfabric,Hyperfabric Dress,http://augmentnl.com/hyperfabric/,2013,,https://www.youtube.com/watch?v=8t2r_zzMEys,Marga Weimans
nebula,Nebula: An Interactive Garment Designed for Functional Aesthetics,https://dl.acm.org/doi/abs/10.1145/2702613.2725454,2015,,http://vasilikitsaknaki.com/nebula,"Ludvig Elblaus, Vasiliki Tsaknaki, Vincent Lewandowski, Roberto Bresin"
enchanted,Enchanted Wearable,https://dl.acm.org/citation.cfm?id=3173250,2018,,http://delivery.acm.org.ezproxy.lib.rmit.edu.au/10.1145/3180000/3173250/p27-kleinberger.pdf?ip=131.170.21.110&id=3173250&acc=ACTIVE%20SERVICE&key=65D80644F295BC0D%2E124032AC6F25F239%2E4D4702B0C3E38B35%2E4D4702B0C3E38B35&__acm__=1561151722_1672d753893f721f595fd3fbabcf3793,"Rebecca Kleinberger, Alisha Panjwani"
hackthebody,Hacking the Body 2.0,http://users.sussex.ac.uk/~thm21/ICLI_proceedings/2016/Papers/Long_Papers/83_Hackbodypaper.pdf,2016,,https://www.youtube.com/watch?v=wDD1tQEJNJk,"Kate Sicchio, Camille Baker, Tara Baoth Mooney, Rebecca Stewart"
kukkiavilkas,Kukkia and Vilkas,https://www.researchgate.net/profile/Joanna_Berzowska/publication/4198463_Kukkia_and_Vilkas_Kinetic_Electronic_Garments/links/0912f51195a624a58c000000/Kukkia-and-Vilkas-Kinetic-Electronic-Garments.pdf,2005,,https://www.researchgate.net/profile/Joanna_Berzowska/publication/4198463_Kukkia_and_Vilkas_Kinetic_Electronic_Garments/links/0912f51195a624a58c000000/Kukkia-and-Vilkas-Kinetic-Electronic-Garments.pdf,"Joanna Berzowska, Marcelo Coelho"
socialtextiles,Social Textiles,https://dl.acm.org/citation.cfm?id=2688816,2015,,http://delivery.acm.org.ezproxy.lib.rmit.edu.au/10.1145/2690000/2688816/p619-kan.pdf?ip=131.170.21.110&id=2688816&acc=ACTIVE%20SERVICE&key=65D80644F295BC0D%2E124032AC6F25F239%2E4D4702B0C3E38B35%2E4D4702B0C3E38B35&__acm__=1561153256_f069c499177f463242a89374cae2c8c8,"Viirj Kan, Katsuya Fujii, Judith Amores, Chang Long Zhu Jin, Pattie Maes, Hiroshi Ishii"
chromosonic,Chromosonic,https://vimeo.com/91989013,2015,,https://chromosonic.tumblr.com/,EJTech
spiderdress,Spider Dress,https://www.youtube.com/watch?v=uTTezk__Xvw,2015,,http://www.anoukwipprecht.nl,Anouk Wipprecht
soundshirt,Sound Shirt,http://cutecircuit.com/soundshirt/,2016,,http://cutecircuit.com/soundshirt/,"FRANCESCA ROSELLA, RYAN GENZ"
videodress,Video Dress,https://www.youtube.com/watch?v=c0IyDWm_bSo,2007,,http://www.waldemeyer.com/wp-content/uploads/2011/07/00160_081.jpg,Hussein Chalayan
lunardress,Lunar Dress,https://www.deborahmilner.com/lookbook,2018,,https://www.deborahmilner.com/lookbook,Deborah Milner
tvbgone,TV-B-Gone,https://makezine.com/projects/tv-b-gone-hoodie/,2011,VICE,https://www.vice.com/en_us/article/bnp8wq/forget-the-apple-watch-and-make-your-own-diy-wearable-technology-264,Becky Stern
sparkleskirt,Sparkle Skirt,https://learn.adafruit.com/sparkle-skirt/overview,2013,Adafruit,https://www.adafruit.com/,Becky Stern
citibike,Citi Bike Helmet,https://learn.adafruit.com/citi-bike-helmet/,2013,Adafruit,https://beckystern.com/2013/06/19/citi-bike-smart-helmet-navigates-to-the-nearest-station/,Becky Stern
scissordrive,Scissor Drive Servo Hat,https://www.instructables.com/id/Scissor-Drive-Servo-Hat/,2018,INSTRUCTABLES,https://beckystern.com,Becky Stern
flexi8,Leather 8 Hair Accessory,https://www.instructables.com/id/Leather-8-Hair-Accessory/,2017,INSTRUCTABLES,https://beckystern.com,Becky Stern
beadedearrings,Wire Wrapped & Beaded Earrings,https://www.instructables.com/id/Wire-Wrapped-Beaded-Earrings/,2017,INSTRUCTABLES,https://beckystern.com,Becky Stern
compubody,Laptop Compubody Sock,https://www.instructables.com/id/Laptop-Compubody-Sock/,2016,INSTRUCTABLES,https://beckystern.com,Becky Stern
hairscrunch,Hair Scrunchie,https://www.instructables.com/id/Hair-Scrunchie/,2017,INSTRUCTABLES,https://beckystern.com,Becky Stern
ledforwearables,Making Light-Up Fashion: Introduction to LEDs for Wearable Tech,http://www.wearabletutorials.com/how-to-use-led-lights-for-wearables-beginners-guide/,,WearableTech Tutorials,http://www.wearabletutorials.com/,Wearable Tech Tutorials
ledflower,Light Up LED Flower,http://www.wearabletutorials.com/light-up-led-flower-tutorial/,,WearableTech Tutorials,http://www.wearabletutorials.com/,Wearable Tech Tutorials
thirdeye,Third Eye for the Blind,https://create.arduino.cc/projecthub/muhammedazhar/third-eye-for-the-blind-8c246d?ref=tag&ref_id=wearables&offset=2,2017,Arduino Project Hub,https://create.arduino.cc/projecthub,Muhammed Azhar
firefist,Punch Activated Arm Flamethrowers,https://create.arduino.cc/projecthub/Advanced/punch-activated-arm-flamethrowers-real-firebending-95bb80?ref=tag&ref_id=wearables&offset=1,2017,Arduino Project Hub,https://create.arduino.cc/projecthub,Allen Pan
alzheimers,Alzheimer's Assistant,https://create.arduino.cc/projecthub/abdullahsadiq/alzheimer-s-assistant-a017ad?ref=tag&ref_id=wearables&offset=5,2017,Arduino Project Hub,https://create.arduino.cc/projecthub,Abdullah Sadiq
curiepattern,Arduino 101 - Intel Curie Pattern Matching Dress,https://create.arduino.cc/projecthub/kitty-yeung/arduino-101-intel-curie-pattern-matching-dress-9cc783?ref=tag&ref_id=wearables&offset=8,2017,Arduino Project Hub,https://create.arduino.cc/projecthub,Kitty Yeung
archowl,Archimedes: The AI Robot Owl,https://create.arduino.cc/projecthub/glowascii/archimedes-the-ai-robot-owl-325ff5?ref=tag&ref_id=wearables&offset=11,2018,Arduino Project Hub,https://create.arduino.cc/projecthub,Alex Glow
strokesensor,Stroke sensor,https://www.instructables.com/id/Stroke-Sensor/,2010,Instructables,https://www.kobakant.at/DIY/?p=792,Plusea
ledpartycoat,LED Party coat,https://www.instructables.com/id/Light-Activated-LED-Tassel-Party-Coat/,2018,Instructables,https://vimeo.com/245971947,Ellen Rose
antifacialrecog,Anti-Facial Recognition mask,https://www.instructables.com/id/Anti-Facial-Recognition-Wearable-No-1/,2018,Instructables,https://www.youtube.com/watch?v=avDm-RRttCk,Jennifer Fox
